id,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,department,salary,username
0,0.38,0.53,2,157,3,0,1,0,sales,low,U00000
1,0.8,0.86,5,262,6,0,1,0,sales,medium,U00001
2,0.11,0.88,7,272,4,0,1,0,sales,medium,U00002
3,0.72,0.87,5,223,5,0,1,0,sales,low,U00003
4,0.37,0.52,2,159,3,0,1,0,sales,low,U00004
5,0.41,0.5,2,153,3,0,1,0,sales,low,U00005
6,0.1,0.77,6,247,4,0,1,0,sales,low,U00006
7,0.92,0.85,5,259,5,0,1,0,sales,low,U00007
8,0.89,1,5,224,5,0,1,0,sales,low,U00008
9,0.42,0.53,2,142,3,0,1,0,sales,low,U00009
10,0.45,0.54,2,135,3,0,1,0,sales,low,U00010
11,0.11,0.81,6,305,4,0,1,0,sales,low,U00011
12,0.84,0.92,4,234,5,0,1,0,sales,low,U00012
13,0.41,0.55,2,148,3,0,1,0,sales,low,U00013
14,0.36,0.56,2,137,3,0,1,0,sales,low,U00014
15,0.38,0.54,2,143,3,0,1,0,sales,low,U00015
16,0.45,0.47,2,160,3,0,1,0,sales,low,U00016
17,0.78,0.99,4,255,6,0,1,0,sales,low,U00017
18,0.45,0.51,2,160,3,1,1,1,sales,low,U00018
19,0.76,0.89,5,262,5,0,1,0,sales,low,U00019
20,0.11,0.83,6,282,4,0,1,0,sales,low,U00020
21,0.38,0.55,2,147,3,0,1,0,sales,low,U00021
22,0.09,0.95,6,304,4,0,1,0,sales,low,U00022
23,0.46,0.57,2,139,3,0,1,0,sales,low,U00023
24,0.4,0.53,2,158,3,0,1,0,sales,low,U00024
25,0.89,0.92,5,242,5,0,1,0,sales,low,U00025
26,0.82,0.87,4,239,5,0,1,0,sales,low,U00026
27,0.4,0.49,2,135,3,0,1,0,sales,low,U00027
28,0.41,0.46,2,128,3,0,1,0,accounting,low,U00028
29,0.38,0.5,2,132,3,0,1,0,accounting,low,U00029
30,0.09,0.62,6,294,4,0,1,0,accounting,low,U00030
31,0.45,0.57,2,134,3,0,1,0,hr,low,U00031
32,0.4,0.51,2,145,3,0,1,0,hr,low,U00032
33,0.45,0.55,2,140,3,0,1,0,hr,low,U00033
34,0.84,0.87,4,246,6,0,1,0,hr,low,U00034
35,0.1,0.94,6,255,4,0,1,0,technical,low,U00035
36,0.38,0.46,2,137,3,0,1,0,technical,low,U00036
37,0.45,0.5,2,126,3,0,1,0,technical,low,U00037
38,0.11,0.89,6,306,4,0,1,0,technical,low,U00038
39,0.41,0.54,2,152,3,0,1,0,technical,low,U00039
40,0.87,0.88,5,269,5,0,1,0,technical,low,U00040
41,0.45,0.48,2,158,3,0,1,0,technical,low,U00041
42,0.4,0.46,2,127,3,0,1,0,technical,low,U00042
43,0.1,0.8,7,281,4,0,1,0,technical,low,U00043
44,0.09,0.89,6,276,4,0,1,0,technical,low,U00044
45,0.84,0.74,3,182,4,0,1,0,technical,low,U00045
46,0.4,0.55,2,147,3,0,1,0,support,low,U00046
47,0.57,0.7,3,273,6,0,1,0,support,low,U00047
48,0.4,0.54,2,148,3,0,1,0,support,low,U00048
49,0.43,0.47,2,147,3,0,1,0,support,low,U00049
50,0.13,0.78,6,152,2,0,1,0,support,low,U00050
51,0.44,0.55,2,135,3,0,1,0,support,low,U00051
52,0.38,0.55,2,134,3,0,1,0,support,low,U00052
53,0.39,0.54,2,132,3,0,1,0,support,low,U00053
54,0.1,0.92,7,307,4,0,1,0,support,low,U00054
55,0.37,0.46,2,140,3,0,1,0,support,low,U00055
56,0.11,0.94,7,255,4,0,1,0,support,low,U00056
57,0.1,0.81,6,309,4,0,1,0,technical,low,U00057
58,0.38,0.54,2,128,3,0,1,0,technical,low,U00058
59,0.85,1,4,225,5,0,1,0,technical,low,U00059
60,0.85,0.91,5,226,5,0,1,0,management,medium,U00060
61,0.11,0.93,7,308,4,0,1,0,IT,medium,U00061
62,0.1,0.95,6,244,5,0,1,0,IT,medium,U00062
63,0.36,0.56,2,132,3,0,1,0,IT,medium,U00063
64,0.11,0.94,6,286,4,0,1,0,IT,medium,U00064
65,0.81,0.7,6,161,4,0,1,0,IT,medium,U00065
66,0.43,0.54,2,153,3,0,1,0,product_mng,medium,U00066
67,0.9,0.98,4,264,6,0,1,0,product_mng,medium,U00067
68,0.76,0.86,5,223,5,1,1,0,product_mng,medium,U00068
69,0.43,0.5,2,135,3,0,1,0,product_mng,medium,U00069
70,0.74,0.99,2,277,3,0,1,0,IT,medium,U00070
71,0.09,0.77,5,275,4,0,1,0,product_mng,medium,U00071
72,0.45,0.49,2,149,3,0,1,0,product_mng,high,U00072
73,0.09,0.87,7,295,4,0,1,0,product_mng,low,U00073
74,0.11,0.97,6,277,4,0,1,0,product_mng,medium,U00074
75,0.11,0.79,7,306,4,0,1,0,product_mng,medium,U00075
76,0.1,0.83,6,295,4,0,1,0,product_mng,medium,U00076
77,0.4,0.54,2,137,3,0,1,0,marketing,medium,U00077
78,0.43,0.56,2,157,3,0,1,0,sales,low,U00078
79,0.39,0.56,2,142,3,0,1,0,accounting,low,U00079
80,0.45,0.54,2,140,3,0,1,0,support,low,U00080
81,0.38,0.49,2,151,3,0,1,0,technical,low,U00081
82,0.79,0.59,4,139,3,0,1,1,management,low,U00082
83,0.84,0.85,4,249,6,0,1,0,marketing,low,U00083
84,0.11,0.77,6,291,4,0,1,0,marketing,low,U00084
85,0.11,0.87,6,305,4,0,1,0,marketing,low,U00085
86,0.17,0.84,5,232,3,0,1,0,sales,low,U00086
87,0.44,0.45,2,132,3,0,1,0,sales,low,U00087
88,0.37,0.57,2,130,3,0,1,0,sales,low,U00088
89,0.1,0.79,6,291,4,0,1,0,sales,low,U00089
90,0.4,0.5,2,130,3,0,1,0,sales,low,U00090
91,0.89,1,5,246,5,0,1,0,sales,low,U00091
92,0.42,0.48,2,143,3,0,1,0,sales,low,U00092
93,0.46,0.55,2,129,3,0,1,0,sales,low,U00093
94,0.09,0.83,6,255,4,0,1,0,sales,low,U00094
95,0.37,0.51,2,155,3,0,1,0,sales,low,U00095
96,0.1,0.77,6,265,4,0,1,0,sales,low,U00096
97,0.1,0.84,6,279,4,0,1,0,sales,low,U00097
98,0.11,0.97,6,284,4,0,1,0,sales,low,U00098
99,0.9,1,5,221,6,0,1,0,sales,medium,U00099
100,0.38,0.52,2,154,3,0,1,0,sales,medium,U00100
101,0.36,0.52,2,147,3,0,1,0,sales,medium,U00101
102,0.42,0.46,2,150,3,0,1,0,sales,medium,U00102
103,0.09,0.94,7,267,4,0,1,0,sales,medium,U00103
104,0.43,0.52,2,158,3,0,1,0,sales,medium,U00104
105,0.24,0.46,7,224,5,0,1,0,accounting,medium,U00105
106,0.91,1,4,257,5,0,1,0,accounting,medium,U00106
107,0.44,0.5,2,148,3,0,1,0,accounting,medium,U00107
108,0.71,0.87,3,177,4,0,1,0,hr,medium,U00108
109,0.4,0.49,2,155,3,0,1,0,hr,medium,U00109
110,0.43,0.47,2,144,3,0,1,0,hr,medium,U00110
111,0.09,0.85,6,289,4,0,1,0,hr,high,U00111
112,0.43,0.52,2,160,3,0,1,0,technical,low,U00112
113,0.9,0.96,4,258,5,0,1,0,technical,medium,U00113
114,0.84,1,5,234,5,0,1,0,technical,medium,U00114
115,0.37,0.48,2,137,3,0,1,0,technical,medium,U00115
116,0.86,0.68,5,263,2,0,1,0,technical,medium,U00116
117,0.11,0.84,6,251,4,0,1,0,technical,low,U00117
118,0.37,0.57,2,133,3,0,1,0,technical,low,U00118
119,0.4,0.46,2,132,3,0,1,0,technical,low,U00119
120,0.14,0.62,4,158,4,1,1,0,technical,low,U00120
121,0.4,0.46,2,135,3,0,1,0,technical,low,U00121
122,0.75,1,4,216,6,0,1,0,technical,low,U00122
123,0.11,0.84,6,300,5,1,1,0,support,low,U00123
124,0.46,0.49,2,138,3,0,1,0,support,low,U00124
125,0.11,0.92,6,260,4,0,1,0,support,low,U00125
126,0.38,0.49,2,132,3,0,1,0,support,low,U00126
127,0.7,0.89,3,183,5,0,1,0,support,low,U00127
128,0.09,0.82,6,250,4,0,1,0,support,low,U00128
129,0.37,0.45,2,151,3,0,1,0,support,low,U00129
130,0.1,0.83,6,292,4,0,1,0,support,low,U00130
131,0.38,0.57,2,140,3,0,1,0,support,low,U00131
132,0.9,1,5,221,5,0,1,0,support,low,U00132
133,0.44,0.51,2,138,3,0,1,0,support,low,U00133
134,0.36,0.5,2,132,3,0,1,0,technical,low,U00134
135,0.31,0.84,7,133,5,0,1,0,technical,low,U00135
136,0.1,0.84,6,283,4,1,1,0,technical,low,U00136
137,0.42,0.48,2,129,3,0,1,0,management,low,U00137
138,0.74,1,4,249,5,0,1,0,IT,low,U00138
139,0.73,0.87,5,257,5,0,1,0,IT,low,U00139
140,0.09,0.96,6,245,4,0,1,0,IT,low,U00140
141,0.45,0.53,2,155,3,0,1,0,IT,low,U00141
142,0.11,0.8,6,256,4,0,1,0,IT,low,U00142
143,0.37,0.47,2,152,3,0,1,0,product_mng,low,U00143
144,0.84,0.99,4,267,5,0,1,0,product_mng,low,U00144
145,0.41,0.46,2,151,3,0,1,0,product_mng,low,U00145
146,0.76,0.92,4,239,5,0,1,0,product_mng,low,U00146
147,0.11,0.87,6,306,4,0,1,0,IT,low,U00147
148,0.84,0.88,4,263,5,1,1,0,marketing,low,U00148
149,0.39,0.5,2,147,3,0,1,0,marketing,low,U00149
150,0.11,0.91,6,278,4,0,1,0,marketing,low,U00150
151,0.45,0.56,2,154,3,0,1,0,marketing,low,U00151
152,0.37,0.52,2,143,3,0,1,0,marketing,low,U00152
153,0.4,0.52,2,155,3,0,1,0,marketing,low,U00153
154,0.39,0.48,2,160,3,0,1,0,sales,low,U00154
155,0.11,0.8,6,304,4,0,1,0,accounting,low,U00155
156,0.83,1,5,240,5,0,1,0,support,low,U00156
157,0.11,0.92,6,305,4,0,1,0,technical,low,U00157
158,0.39,0.5,2,136,3,0,1,0,management,low,U00158
159,0.45,0.45,2,132,3,0,1,0,marketing,low,U00159
160,0.1,0.95,7,301,4,0,1,0,marketing,low,U00160
161,0.9,0.98,5,243,6,0,1,0,marketing,low,U00161
162,0.45,0.51,2,147,3,0,1,0,sales,low,U00162
163,0.79,0.89,5,239,5,0,1,0,sales,low,U00163
164,0.9,0.99,5,260,5,0,1,0,sales,low,U00164
165,0.11,0.84,7,296,4,0,1,0,sales,low,U00165
166,0.43,0.55,2,129,3,0,1,0,sales,low,U00166
167,0.31,0.54,5,132,5,0,1,0,sales,low,U00167
168,0.32,0.5,2,135,5,0,1,0,sales,low,U00168
169,0.45,0.57,2,158,3,0,1,0,sales,low,U00169
170,0.81,0.99,4,259,5,0,1,0,sales,low,U00170
171,0.41,0.46,2,160,3,0,1,1,sales,low,U00171
172,0.11,0.78,7,278,4,0,1,0,sales,low,U00172
173,0.1,0.88,6,284,4,0,1,0,sales,low,U00173
174,0.7,0.53,2,274,4,0,1,0,sales,low,U00174
175,0.54,0.74,4,164,2,0,1,0,sales,low,U00175
176,0.41,0.48,2,148,3,0,1,0,sales,low,U00176
177,0.38,0.5,2,140,3,0,1,0,sales,medium,U00177
178,0.37,0.51,2,127,3,0,1,0,sales,medium,U00178
179,0.11,0.85,6,308,5,0,1,0,sales,medium,U00179
180,0.4,0.47,2,146,3,0,1,0,sales,medium,U00180
181,0.1,0.84,6,261,4,0,1,0,accounting,medium,U00181
182,0.89,0.99,5,257,5,0,1,0,accounting,medium,U00182
183,0.11,0.8,6,285,4,0,1,0,accounting,medium,U00183
184,0.36,0.55,2,141,3,0,1,0,hr,medium,U00184
185,0.4,0.46,2,127,3,0,1,0,hr,medium,U00185
186,0.09,0.85,6,297,4,0,1,0,hr,medium,U00186
187,0.4,0.46,2,143,3,0,1,0,hr,medium,U00187
188,0.37,0.55,2,152,3,0,1,0,technical,medium,U00188
189,0.44,0.51,2,156,3,0,1,0,technical,high,U00189
190,0.09,0.8,7,283,5,0,1,0,technical,low,U00190
191,0.92,0.87,4,226,6,1,1,0,technical,medium,U00191
192,0.74,0.91,4,232,5,0,1,0,technical,medium,U00192
193,0.09,0.82,6,249,4,0,1,0,technical,medium,U00193
194,0.89,0.95,4,275,5,0,1,0,technical,medium,U00194
195,0.09,0.8,6,304,4,0,1,0,technical,low,U00195
196,0.27,0.54,7,278,3,0,1,0,technical,low,U00196
197,0.1,0.91,6,287,4,0,1,0,technical,low,U00197
198,0.1,0.89,7,285,4,0,1,0,technical,low,U00198
199,0.77,0.94,5,226,6,0,1,0,support,low,U00199
200,0.9,0.82,5,259,5,0,1,0,support,low,U00200
201,0.39,0.5,2,135,3,0,1,0,support,low,U00201
202,0.76,1,5,219,5,0,1,0,support,low,U00202
203,0.1,0.93,6,256,4,0,1,0,support,low,U00203
204,0.87,0.9,5,254,6,0,1,0,support,low,U00204
205,0.38,0.5,2,153,3,0,1,0,support,low,U00205
206,0.77,0.99,5,228,5,0,1,0,support,low,U00206
207,0.78,0.87,4,228,5,0,1,0,support,low,U00207
208,0.44,0.5,2,128,3,0,1,0,support,low,U00208
209,0.38,0.52,2,153,3,0,1,0,support,low,U00209
210,0.43,0.46,2,156,3,0,1,0,technical,low,U00210
211,0.39,0.5,4,294,3,0,1,0,technical,low,U00211
212,0.88,1,5,219,5,0,1,0,technical,low,U00212
213,0.45,0.46,2,153,3,0,1,0,management,low,U00213
214,0.4,0.53,2,151,3,0,1,0,IT,low,U00214
215,0.36,0.51,2,155,3,0,1,0,IT,low,U00215
216,0.36,0.48,2,158,3,0,1,0,IT,low,U00216
217,0.9,0.98,5,245,5,0,1,0,IT,low,U00217
218,0.43,0.53,2,131,3,0,1,0,IT,low,U00218
219,0.89,0.87,5,225,5,0,1,0,product_mng,low,U00219
220,0.1,0.84,6,286,4,0,1,0,product_mng,low,U00220
221,0.37,0.5,2,135,3,0,1,0,product_mng,low,U00221
222,0.37,0.51,2,153,3,0,1,0,product_mng,low,U00222
223,0.87,0.9,5,252,5,0,1,0,IT,low,U00223
224,0.4,0.56,2,149,3,0,1,0,accounting,low,U00224
225,0.9,0.97,4,258,5,0,1,0,accounting,low,U00225
226,0.37,0.46,2,158,3,0,1,0,hr,low,U00226
227,0.44,0.54,2,149,3,0,1,0,hr,low,U00227
228,0.85,0.95,5,236,5,0,1,0,hr,low,U00228
229,0.78,0.98,5,239,6,0,1,0,marketing,low,U00229
